epoch,loss,correct
10,32.74977762903066,31
20,32.44727058419456,31
30,32.34208886070792,31
40,32.27849742703705,31
50,32.219650712760924,31
60,32.13773771785953,31
70,32.027236783438504,31
80,31.906234644959635,31
90,31.773771966620465,31
100,31.588881374473743,31
110,31.41743885437302,31
120,31.258609583601025,31
130,31.085486756873845,32
140,30.900503928912272,32
150,30.693052893732627,32
160,30.464931784681426,32
170,30.21125899495562,33
180,29.92631831434489,33
190,29.608360092049004,34
200,29.258368872019815,35
210,28.867464319702314,35
220,28.43796670820303,35
230,27.96459485424376,36
240,27.445903959426424,36
250,26.885800318050215,39
260,26.280446839815607,40
270,25.62760140181062,40
280,24.929220009572866,40
290,24.190467042605437,41
300,23.433299610728128,42
310,22.67966589736085,42
320,21.899126676279867,42
330,21.086199151748364,44
340,20.239056652186953,45
350,19.38618158327591,46
360,18.529790998062186,46
370,17.686788474199865,48
380,16.85692915360747,48
390,16.04428055982736,48
400,15.251658898389262,48
410,14.484119102183069,48
420,13.758447326798665,48
430,13.06710916741863,48
440,12.4146057649474,48
450,11.797550256859761,49
460,11.216097177926683,49
470,10.671040527222432,49
480,10.162585322635158,49
490,9.688606820852991,49
500,9.248159289738194,49
510,8.839707948778258,49
520,8.46045844596043,49
530,8.109190287062626,49
540,7.783903675945798,49
550,7.48276742369474,49
560,7.20329092399952,49
570,6.943573439794777,49
580,6.701915273811339,49
590,6.476784082729622,49
600,6.2667563819796746,49
610,6.070525289961776,49
620,5.88691873278751,49
630,5.714860502071375,49
640,5.553571395905211,49
650,5.40204452408951,49
660,5.2594796952269505,49
670,5.125033637633444,50
680,4.998051816128073,50
690,4.877940116407052,50
700,4.764159780747456,50
710,4.656221029883542,50
720,4.553678875014296,50
730,4.4561287111393515,50
740,4.363239032267288,50
750,4.274662647279851,50
760,4.190079900918395,50
770,4.1092257884720125,50
780,4.031825616068484,50
790,3.9577036165725357,50
800,3.8868600417643706,50
810,3.8188519829,50
820,3.753414284149681,50
830,3.690383643234072,50
840,3.6296118509027684,50
850,3.570963192520948,50
860,3.514312786790637,50
870,3.45954538572774,50
880,3.4065544224628757,50
890,3.3552412090583035,50
900,3.3055142374089024,50
910,3.25728855883411,50
920,3.2104852281638863,50
930,3.1650308029392327,50
940,3.120876565083801,50
950,3.0779379691199953,50
960,3.036153982129519,50
970,2.99546936113522,50
980,2.9558324507644618,50
990,2.917194907232911,50
1000,2.879511446664586,50
