epoch,loss,correct
10,33.724177400993284,29
20,33.01086180239522,35
30,32.679832438302064,33
40,32.472016350727245,34
50,32.29556568490356,34
60,32.13964261234638,34
70,31.975107837294672,34
80,31.81411676764872,34
90,31.657122919116986,34
100,31.502453357624596,35
110,31.34933443618071,34
120,31.195275992385717,34
130,31.045008708650204,34
140,30.888793478604363,34
150,30.729228896224825,34
160,30.574500497627337,34
170,30.418854265417195,34
180,30.270654029595757,34
190,30.12405664184454,34
200,29.976686961657993,35
210,29.828784974562193,35
220,29.68064291649066,35
230,29.53224986721655,35
240,29.383169254345216,35
250,29.23296682381772,36
260,29.083401415531814,36
270,28.945214532057477,36
280,28.808927790201334,36
290,28.6741549988571,36
300,28.543160772352,36
310,28.41452394840395,36
320,28.28781537986024,36
330,28.16068354931371,35
340,28.03525495829111,35
350,27.910508107164326,35
360,27.78572371807126,36
370,27.65977885750673,36
380,27.532393102669996,36
390,27.366748158909243,35
400,27.079492741436795,36
410,26.72619377168177,37
420,26.3263405096385,37
430,25.936192596305478,37
440,25.631474432082765,37
450,25.330553964467068,37
460,25.013957117148422,37
470,24.66945155229302,37
480,24.335695220349397,37
490,24.00632932428863,37
500,23.67703396293189,37
510,23.359435350591596,37
520,23.043863389596876,37
530,22.741283127591455,37
540,22.44458721485709,38
550,22.154263106790346,39
560,21.868287864098033,39
570,21.580423479036405,41
580,21.298615527378363,41
590,21.02547207446555,42
600,20.75221001046828,42
610,20.492990633564062,42
620,20.23826632102135,42
630,19.984237979083236,42
640,19.735735040589287,42
650,19.496289908799252,42
660,19.2653307844992,42
670,19.035710733838776,42
680,18.814356850145174,42
690,18.584734325221447,42
700,18.36374126703462,42
710,18.150855375875132,43
720,17.921967610112773,44
730,17.714364672390627,44
740,17.50169416512266,44
750,17.289834131373365,44
760,17.07996320328344,44
770,16.865109376948936,45
780,16.656140243483712,45
790,16.461754233526186,45
800,16.26082810749444,45
810,16.06700796659698,45
820,15.875860178880384,45
830,15.690567429577063,44
840,15.499977434526633,45
850,15.313134945123828,45
860,15.142431122082536,45
870,14.952745236335339,46
880,14.77910898537511,46
890,14.607201228149991,46
900,14.447304196134992,45
910,14.268011517241783,46
920,14.116982593187311,46
930,13.951904391890828,46
940,13.793117098526357,46
950,13.649080988509626,46
960,13.500535519923263,46
970,13.353281957434616,46
980,13.22979769765482,46
990,13.093623505323524,46
1000,12.95771245744986,46
1010,12.813275390892207,46
1020,12.670244912644158,46
1030,12.532656595790009,46
1040,12.398275670938945,46
1050,12.284126798681244,46
1060,12.118074706404107,46
1070,12.005743280438276,46
1080,11.862629804493222,46
1090,11.716334903775344,47
1100,11.570605893629125,47
1110,11.443921174952305,47
1120,11.318492545159504,47
1130,11.197536818671006,47
1140,11.079635846380826,47
1150,10.963651961999615,47
1160,10.84089342195059,47
1170,10.73659363142207,47
1180,10.627524713436484,47
1190,10.512875504620682,47
1200,10.411961343793028,47
1210,10.303636839529299,47
1220,10.183619023540626,47
1230,10.081141682035682,47
1240,10.006204860398409,47
1250,9.905397780800978,47
1260,9.777897417289234,47
1270,9.681188111313732,47
1280,9.586207599608723,47
1290,9.466698878192526,47
1300,9.389419992357613,47
1310,9.358548965334824,46
1320,9.179852212400483,47
1330,9.092728148073242,47
1340,9.040408851944811,47
1350,9.02087386465934,46
1360,8.84993720279763,47
1370,8.844240804990376,46
1380,8.780592719543705,46
1390,8.717847607532951,46
1400,8.64153474379501,46
1410,8.599812731531335,46
1420,8.563848750129896,46
1430,8.491949616289133,46
1440,8.485427566420157,46
1450,8.355065732829386,47
1460,8.102486695087853,48
1470,8.048160626915063,48
1480,8.151492369107526,47
1490,8.263237175757904,47
1500,8.223861781812776,47
