epoch,loss,correct
10,34.15495934373623,29
20,33.992642841732874,29
30,33.93407013122166,29
40,33.904802833993095,29
50,33.88382560487876,29
60,33.864634757594914,29
70,33.845048143690356,29
80,33.824223814605254,29
90,33.80173306897264,29
100,33.77726157003907,29
110,33.750509560995,29
120,33.72115600723084,29
130,33.68884300026982,29
140,33.65316611647366,29
150,33.61366596085818,29
160,33.569819219139276,29
170,33.521028519729064,29
180,33.46661068681804,29
190,33.40578300683442,29
200,33.33764707992227,29
210,33.261169727538835,29
220,33.17516028271276,29
230,33.078243392457544,29
240,32.96882619561612,29
250,32.84505837993837,29
260,32.70478313691034,29
270,32.54547637908082,29
280,32.36417070847018,29
290,32.15735946248744,29
300,31.920874651299243,29
310,31.649730700356553,29
320,31.337923684713097,29
330,30.978173518360435,29
340,30.561595334582197,29
350,30.07728858699951,29
360,29.511844134287642,29
370,28.848803834612852,29
380,28.068191156694052,32
390,27.146416212524628,34
400,26.057222847941237,38
410,24.7749450987937,39
420,23.281970841237744,40
430,21.581888339247502,41
440,19.771046253611605,42
450,18.09237967738355,45
460,16.71273397123933,46
470,15.535412434674283,47
480,14.49962786253544,47
490,13.59127013996381,47
500,12.777291518112389,47
510,12.019942671189687,47
520,11.343257026494618,47
530,10.744985394328975,48
540,10.196113641395868,48
550,9.693279963624379,48
560,9.254367393061058,48
570,8.85534992543602,49
580,8.495871280954592,49
590,8.166875176710317,49
600,7.857774645147228,49
610,7.566959212868341,49
620,7.293034361224947,49
630,7.034758761348356,49
640,6.7910246170035045,49
650,6.561044131442436,49
660,6.354369537837194,49
670,6.160581487650373,49
680,5.976398911893925,49
690,5.801623271944574,49
700,5.6365991794177726,49
710,5.479886388182895,50
720,5.331394356220114,50
730,5.190397114867233,50
740,5.0561319548342265,50
750,4.9281850967017995,50
760,4.8061713274773,50
770,4.690417233676886,50
780,4.585415973526531,50
790,4.486152113529856,50
800,4.390698122889455,50
810,4.298856719005561,50
820,4.210444444873386,50
830,4.125289866812047,50
840,4.043232334715211,50
850,3.964120946703857,50
860,3.8878136796058773,50
870,3.814176653070813,50
880,3.743704118733867,50
890,3.676361369860058,50
900,3.6114005067722936,50
910,3.549312183981496,50
920,3.4893260545026767,50
930,3.431313207231054,50
940,3.3751655866290866,50
950,3.3207842729173054,50
960,3.268078426387812,50
970,3.2169643685527287,50
980,3.1673647838601684,50
990,3.1192080268393094,50
1000,3.0724275209561194,50
