epoch,loss,correct
10,14.969657992946107,47
20,12.671589773167927,46
30,11.041644279915324,48
40,9.764302923453275,48
50,8.729347178103703,49
60,7.868898357792536,50
70,7.164446501966948,50
80,6.581962127718176,50
90,6.096070745840575,50
100,5.682222969349253,50
110,5.335065268606121,50
120,5.039009370578677,50
130,4.779995355267826,50
140,4.552479852697272,50
150,4.35085709518812,50
160,4.171401716535458,50
170,4.010761559238134,50
180,3.8662553622149773,50
190,3.7360271688600424,50
200,3.6179331629420464,50
210,3.510456126562467,50
220,3.413380396675507,50
230,3.3244638047945587,50
240,3.242755208693849,50
250,3.167730121940057,50
260,3.0983328096417435,50
270,3.0341898294406997,50
280,2.974309936888389,50
290,2.9180400113363074,50
300,2.865126374308637,50
310,2.8153624578621885,50
320,2.768294767055213,50
330,2.7236946512123,50
340,2.681358676950841,50
350,2.6412977529167385,50
360,2.6031580823340748,50
370,2.5667592852283727,50
380,2.53197285919715,50
390,2.4986826563088087,50
400,2.466783420133294,50
410,2.4361872162999623,50
420,2.406815895521168,50
430,2.378577249441508,50
440,2.3513934783335904,50
450,2.325197976705701,50
460,2.300345928116007,50
470,2.2764340758830315,50
480,2.2533362327638415,50
490,2.2309970186688024,50
500,2.209337252066477,50
510,2.1883204537213765,50
520,2.1679127617744625,50
530,2.1480826811674754,50
540,2.1288008760244175,50
550,2.110039984063556,50
560,2.091774450290126,50
570,2.0739803776235353,50
580,2.05663539243811,50
590,2.0397185232714206,50
600,2.0232100911875315,50
610,2.007091610481219,50
620,1.9913456985787936,50
630,1.9759559941360894,50
640,1.960940374878847,50
650,1.9463544615876462,50
660,1.9321572895758792,50
670,1.9182678452251267,50
680,1.9046911807118585,50
690,1.8913743464154704,50
700,1.8783067758270433,50
710,1.8654789887249623,50
720,1.852881989192929,50
730,1.8405072339853616,50
740,1.8283466034927784,50
750,1.8163923750450486,50
760,1.8046371983222596,50
770,1.7930740726699306,50
780,1.7816972835451368,50
790,1.770504286006775,50
800,1.7594841810482666,50
810,1.7486308071232985,50
820,1.737938653294149,50
830,1.7274024514816602,50
840,1.7170171632080296,50
850,1.7067779672293606,50
860,1.6966802479854195,50
870,1.6867390610795305,50
880,1.6769342123332351,50
890,1.6672568020605654,50
900,1.6577029856589398,50
910,1.6482690755493128,50
920,1.638951533298185,50
930,1.6297469622624015,50
940,1.620652100675098,50
950,1.6116638151418337,50
960,1.6028130298409204,50
970,1.5940814182389031,50
980,1.5854448804113144,50
990,1.5769008560640831,50
1000,1.568446883346252,50
